word,log_occurence
which,-2.614293587
their,-2.778704793
would,-2.84838373
other,-2.874888564
about,-2.977434872
there,-2.991343248
these,-3.025053186
could,-3.089429866
first,-3.139012536
under,-3.160233127
where,-3.222669699
after,-3.225412363
those,-3.231517081
years,-3.24385691
being,-3.294884221
shall,-3.311112939
three,-3.372324194
state,-3.377403846
right,-3.41892623
order,-3.431347712
found,-3.434510235
water,-3.442508278
while,-3.466899508
world,-3.48374501
given,-3.487267666
might,-3.49209101
still,-3.495669549
small,-3.504077305
place,-3.514074787
power,-3.52271827
large,-3.52442318
point,-3.527594976
level,-3.535232011
study,-3.539512492
think,-3.539688803
since,-3.556132483
group,-3.556773823
value,-3.577142676
using,-3.584996748
never,-3.590288138
great,-3.594324908
often,-3.594925768
means,-3.60273758
women,-3.608844991
again,-3.612757634
every,-3.615301128
above,-3.617898981
local,-3.618092145
until,-3.631693724
going,-3.632343666
among,-3.640472264
human,-3.645456401
total,-3.649649994
least,-3.651975605
later,-3.668885243
taken,-3.672905297
court,-3.675261732
early,-3.675819954
model,-3.687034097
known,-3.690775045
major,-3.690936648
terms,-3.691067728
shown,-3.721543886
field,-3.721606452
times,-3.737754327
light,-3.744879278
along,-3.747377655
basis,-3.749312678
whole,-3.752213484
words,-3.760818582
child,-3.761079395
range,-3.795116787
class,-3.796220217
house,-3.796855891
money,-3.797188763
short,-3.807642482
issue,-3.810646132
costs,-3.811906557
sense,-3.818155239
young,-3.819190548
clear,-3.823942231
lower,-3.829431833
needs,-3.829809849
death,-3.833868551
party,-3.834496458
force,-3.845250353
trade,-3.848054015
cases,-3.850345443
paper,-3.853400176
whose,-3.858724944
third,-3.859407261
price,-3.86145588
white,-3.86190086
space,-3.861950868
cause,-3.863294837
below,-3.86770334
thing,-3.874560942
began,-3.876459069
close,-3.88491343
rates,-3.887461139
night,-3.887954232
woman,-3.894236743
quite,-3.89820417
black,-3.900177009
hours,-3.906539176
shows,-3.910345459
seems,-3.920493843
table,-3.922940057
final,-3.937325116
today,-3.938841778
forms,-3.94133858
makes,-3.942058426
heart,-3.943054581
types,-3.944277017
rules,-3.947003526
basic,-3.948011154
doing,-3.955735324
blood,-3.956400502
hands,-3.969470377
legal,-3.974223664
parts,-3.975282714
staff,-3.978041532
plant,-3.978042385
lines,-3.981389848
funds,-3.987362723
front,-3.990606883
story,-3.994380687
prior,-3.997379557
works,-3.99859986
leave,-4.005605146
stage,-4.007702896
added,-4.010115176
heard,-4.010816447
units,-4.016247104
share,-4.024420899
alone,-4.027676542
title,-4.031537695
phase,-4.032641463
voice,-4.037091762
claim,-4.041608151
scale,-4.042086525
equal,-4.042297727
books,-4.04831017
bring,-4.052554226
month,-4.054101907
board,-4.054330128
noted,-4.055849334
trial,-4.062164849
allow,-4.064457296
start,-4.067955481
asked,-4.07123135
labor,-4.072361353
occur,-4.072620397
apply,-4.073952138
sound,-4.075097979
image,-4.085180065
goods,-4.091211714
plans,-4.093206666
stock,-4.095840563
cross,-4.0993485
offer,-4.10106489
sales,-4.1035604
moved,-4.106561064
music,-4.107727038
comes,-4.111977097
takes,-4.115403696
event,-4.117497738
gives,-4.119527287
built,-4.121440976
fully,-4.127180071
tried,-4.132049845
